BRAGG CREEK WEST,3030796
CHAMPION AGDM,3031480
JEAN D'OR RS,3073545
COCHRANE BIGHILL CREEK,3031678
ST PAUL EXP ST,3015680
STRATHMORE AGDM,3036205
IDDESLEIGH,3023430
PIGEON LAKE,5022100
HARGRAVE CDA EPF,5011280
WOOD MOUNTAIN,4029029
ARCHERWILL,4080200
SONNINGDALE,4047644
NAROL,5021992
WAINWRIGHT SNOW,3016928
KETCHUM CREEK,304CFDC
RONAN,3065541
MADDEN,3024150
EDMONTON PLEASANTVIEW,3012215
CARMANGAY VILLAGE,3031348
WABASCA,3076905
SOMME CDA EPF,4087640
WAKAW,4058495
BYRON BAY A,2400595
MAPLE CREEK CDA EPF,4024937
GLADMAN POINT A,2402340
KENVILLE EXP ST,5041440
SEVEN SISTERS FALLS,5032640
PINE RIVER,5042168
SOUTHEND,4067655
ILE A LA CROSSE,4063420
MIAMI THIESSEN,5021737
GLADMAN POINT,2402339
HOLDFAST,4013270
PIKWITONEI A,5062111
PENSE,4016080
CANDLE LAKE,405I010
GULL LAKE CDA EPF,4023060
REGINA LEGISLATIVE GRNDS,4016680
MINTON,4035200
GROSSE ISLE,5021225
CRESCENT LAKE,4011888
HALIFAX STANFIELD INT'L A,8202251
ELMSDALE,8201750
SOUTH PINETTE,8300588
MARY RIVER,2402687
FORT FRANCES RCS,6022474
QUILL LAKE,4016330
TORQUAY,4018105
ASQUITH,4050275
ST PIERRE JOLYS,5022606
SOURIS 2,5012727
HILLMOND,4043246
WIGGINS POINT,8105568
BURNT CHURCH,8100600
FRASER BROOK IHD,8201850
GOODLANDS CDA EPF,5011080
LAMPMAN,4014142
LAURIE RIVER POWER SITE,5061540
KALEIDA,5021395
KRISTNES,4014100
WARREN,6069K90
PENTZ,8204405
BIRCHTOWN,8200581
NORTH KINGSTON,8204158
UPPER HOLMESVILLE,8105546
RUSSELL,6107247
FISHER BRANCH SOUTH,5030917
GRAND FALLS DRUMMOND,8101904
CARAQUET,8100785
FARMINGTON,8201766
HARVEY STATION,8102200
PASQUIA PROJECT,5052060
ILLERBRUN,4023430
OAKBANK,5022051
PLUMAS,5042241
HALCYONIA,4053090
STILLWATER,8205600
MCGIVNEY,8102800
URBANIA,8206208
YARMOUTH A,8206495
BEECHWOOD,8100512
EDMUNDSTON FRASER CO,8101301
MONCTON,8103100
MORRIS EXP ST,5021960
QU'APPELLE,4016320
WAWOTA EXP ST,4018680
KIPLING SOUTH 21,40140D3
CABRI,4021025
TOBARMORE,5042927
WINNIPEG STP,5023261
REGINA BUSCH,4016570
CONSUL,4031776
MEIGHEN ISLAND NORTH ICE,240BFHR
KINGSBORO,8300442
AVONDALE,8200210
SASKATOON RCS,4057165
CUDWORTH,4051920
SEMANS,4017320
MIDDLE CLYDE RIVER,8203520
UPPER MUSQUODOBOIT,8206180
SHIPPEGAN,8104975
RAWSON LAKE (AUT),6036907
SWIFT CURRENT CDA,4028060
LAKE DAUPHIN,5041523
STOCKHOLM,4017780
RICHLEA,4026787
PICKEREL NARROWS,5062075
RAWDON,8204550
SHELDON POINT,8104950
INVERNESS,7023284
NAPINKA,5011990
KYLE I,4024121
AYLESBURY,4010358
LEROY,4014322
BRACKEN CDA EPF,4030800
CHURCHILL CLIMATE,5060608
MARQUIS,4015040
LANGENBURG,4014145
GEIKIE RIVER,4062825
MIAMI ORCHARD,5021736
MOOSEHORN,5041800
SURBITON,4057920
DOMAIN,5020768
NEILBURG,4045487
WANLESS,5053080
ST LOUIS,4057070
EUREKA CLIMATE,2401199
MUSKRAT DAM A,6015025
COLLINS BAY,4061629
ST WALBURG,4047081
LUMSDEN 2,4014721
ROADENE,4026840
FANNYSTELLE,5020913
HNAUSA,5031298
SEVEN SISTERS OYES,5032641
SWAN RIVER 2,5042805
TURTLE MOUNTAIN 3,5012938
HIRSCH,4013251
FILLMORE,4012493
SHARPE LAKE,5012661
DESCHAMBAULT LAKE,4072192
GILBERT PLAINS 2,5040986
PILGER,4056121
KETTLE GS,5061460
NEVILLE,4025490
DENBEIGH POINT,5060766
SOUTH BAY,6157913
ST LAURENT,5042596
SASKATOON U OF S,4057200
SWAN RIVER,5042800
INDIAN HEAD CDA,4013480
GRISWOLD,5011224
HAZENMORE,4023160
CLINTON POINT,2300750
SNOW LAKE,5062706
SILVERTON EXP ST,5012680
YELLOW GRASS NORTH,4019041
MOOSE JAW SNOW,4015328
DEVLIN,6022010
WABOWDEN 2,5063044
LEOVILLE,4064312
ELM CREEK,5020870
KINGSMERE,4063940
KITIMAT HATCHERY,106D289
RUTLAND MISSION CREEK,1126915
LYTTON 2,1114745
CLOWHOM FALLS,1041710
TRUTCH MOUNTAIN,1198282
SIDNEY DEEP COVE,1017329
BELLA BELLA SHEARWATER,1060820
DENMAN ISLAND EAST SHORE,1022433
NELSON 2,1145445
SECHELT SANDY HOOK,1047176
MINSTREL ISLAND,1065170
MT WASHINGTON RESORT,1025234
NEEDLES WHATSHAN BCHPA,1145419
LILLOOET CEDAR FALLS,1114621
TAYLOR 3SE,1188026
W VANCOUVER CRESTWELL RD,1108H2G
FIRVALE,1062884
BLACKWATER CREEK,1180881
TUNNEL CAMP,1048310
FORT BABINE,1072902
MAYO ROAD,2100709
SUMMERLAND,1127798
GREY ISLET (AUT),1063303
OKANAGAN MISSION TOZER,1125707
BLUE RIVER NORTH,1160900
SUN PEAKS UPPER,116QK0M
BURNABY CARIBOO DAM,11011MF
DEAD TREE POINT,1052310
JELLICOE,1123721
ELKINS CREEK RANCH,1082654
ALTA LAKE,1040390
NEW WESTM QUEENS PARK,1105560
NELSON RIXEN CREEK,114EMDM
KENNEDY LAKE,1034070
WOODFIBRE,1048974
BARKERVILLE,1090660
WARFIELD,1148700
REDSTONE STUART RANCH,1086695
VICTORIA WILLOWS PARK,101HF66
BIRKENHEAD LAKE,1110Q78
PORT ALICE TOWNSITE,1036243
LUND,1044732
MASSET CFS,10549BN
VANCOUVER HARBOUR CS,1108446
N VANCOUVER GLENAIRE,1105657
GREENWOOD,5021210
METCHOSIN,1015105
OLIVER MONASHEE VINEYARD,11257FN
HIGHLAND VALLEY 3,1163467
HAINES APPS NO 2,1203315
SOOKE SASEENOS,1017575
BAMBERTON OCEAN CEMENT,1010595
KAMLOOPS A,1163781
QUESNEL MOOSE HEIGHTS,1096635
SUN PEAKS MOUNTAIN,1168204
MALAKWA EAGLE R HATCHERY,1164830
KAMLOOPS RIDGEVIEW TERRACE,116LQPJ
BONILLA ISLAND (AUT),1060R0K
BLACKCOMB BASE SLIDING CENTER,1100881
LIONS BAY 2,110D634
MT BALDY,1125221
NANOOSE BAY,1025375
BENNETT,1200847
VENABLES VLY BHUMI FARM,1168532
FORT ST. JOHN A,1183001
LUMBY,1164729
SALTSPRING IS CUSHEON LK,1016992
SAANICHTON MT NEWTON,1016RM0
SARDIS 2,1107083
VICTORIA FRANCIS PARK,1018605
PITT LAKE,1106174
FALLS RIVER,1062790
WHISTLER,1048898
OYAMA,1125907
MACKAY RIVER,1094785
STEWART,1067740
PRINCETON CS,112FN0M
KETZA RIVER MINE,2100FPP
LITTLE GOLD CREEK,2100690
KINGSGATE,1144230
ARMSTRONG NORTH,1160485
MILNER AIC,1105155
BURNABY METROTOWN,110A1ND
NELSON ISLAND,1045440
MT KOBAU OBSERVATORY,1125223
CARNATION CREEK CDF,1031413
BURNABY EAST,1101150
SALTSPRING ISLAND,1016990
VANDERHOOF 2NE,1098492
SEYMOUR ARM,1167193
CALLAGHAN VALLEY(SKI JUMP BOTTOM),1101320
VICTORIA INTL A,1018621
TOFINO A,1038210
RIVERS INLET GOOD HOPE,1066788
GALIANO SOUTH 2,101C0ME
HORNBY ISLAND,1023590
ROBERTS CREEK,1046791
RICHMOND BROADMOOR 2,1106GF3
TAHSIS,1037890
FINLAYSON ARM RD,1012883
CRESTON WPCC,1142164
MONTE LAKE 2,1165198
ALBERT HEAD,1010235
PRITCHARD,1166527
BOWEN ISLAND SUNSET PARK,104091B
WOODFIBRE HENRIETTA LK,1048975
SURREY 104 AVE 164 ST,1107QP8
KELOWNA LAKEVIEW,1123990
SEWELL INLET,1057192
CLINTON (AUT),1161661
RACE ROCKS LIGHTSTATION,1016641
BRUCEJACK LAKE,1071092
BABINE LAKE FISHERIES,1070571
RAMPART HOUSE,2100920
LEO CREEK,1094602
SMITHERS KATHLYN LAKE,107P505
VANCOUVER PMO,1108465
VANANDA,1028340
BEAVERDELL NORTH,1130771
150 MILE HOUSE 7N,1095821
MOUNT SEYMOUR,1105230
MOSLEY CREEK SAND CREEK,1085208
N VANCOUVER UPPER LYNN,1105668
ST CHARLES CREEK,2203656
MERRITT,1125073
JERVIS INLET VANC BAY,1043722
SIMILKAMEEN MINE,1127360
LORSTA WILLIAMS LAKE,1094719
SQUAMISH ASHLU CREEK,104G660
LAWYER ISLAND,1064591
LYNCH CREEK,1134735
DISCOVERY ISLAND,1012475
PRINCE GEORGE AIRPORT AUTO,1096453
MACPASS AIRSTRIP,21006RN
TULSEQUAH,1208295
VANCOUVER FRASERVIEW,1108445
LANGLEY WELLS,1104565
GILLIES CROSSING,1083157
N VANCOUVER WHARVES,1105669
VICTORIA HOLLAND 2,1018617
KASLO,1143900
DRURY CREEK,2100460
TAGISH TOWER,2101093
COAL RIVER,1191740
KINGSTON CLIMATE,6104142
TILLSONBURG WWTP,6138270
KIRKLAND LAKE,6074209
OAKVILLE TWN,6155750
SHERBROOKE A,7028126
KANGIQSUALUJJUAQ A,7113391
BEATRICE CLIMATE,6110607
HORNEPAYNE A,6053575
PESHU LAKE,6056389
KAKABEKA FALLS,6043930
PRICE,7056240
FRANKFORD MOE,6152555
MONTREAL PERSILLIER,7025315
BLUE SPRINGS CREEK,6140818
ENNISMORE,6162328
BRADFORD SPRINGDALE,6150867
MILLGROVE,6155183
WYEVALE,6119668
ST EPHREM,7027200
DUNHAM,7022246
PICKLE LAKE A,6016529
OTTAWA BECKWITH RD,6105938
ST UBALD,7017767
PROSPECT HILL,6146745
LESKARD,6154410
NAGAGAMI (AUT),6075543
BRUCE MINES RADIGAN,605102G
CHESTERVILLE,6101500
ST LEON DE LABRECQUE,7067460
JOUTEL,7093376
TORONTO BRYNSTON,6158D1B
CHIBOUGAMAU,7091400
NOUVEAU COMPTOIR,7095700
OTTAWA INTL A,6106001
NORTH BAY OWRC,6085704
PALMAROLLE,7095785
BALACLAVA,6110470
BARRIERE TOURILLI,7010480
GERALDTON A,6042716
BRE #3 RIV-AUX-RATS,7060479
LAC DES LOUPS A,7083620
TORONTO METRO ZOO,6158741
WALDEMAR,6149205
LAPRAIRIE,7024100
OAK RIDGES,6155722
MOE'S RIVER,7025060
DUBERGER,7012232
MONKTON,6145258
RIDEAU CANAL NARROWS,6107087
FRENCH R CHAUDIERE DAM,6082612
STE EDWIDGE,7027120
ST-ANICET 1,702FQLF
HEASLIP,6073420
DRUMBO HARRINGTON,6142113
BERRY MOUNTAIN,7050675
EGREMONT,6142252
CHUTE AUX OUTARDES,7041530
WOODSLEE CDA AUTOMATIC CLIMATE STATION,6139602
ST MALACHIE,7057518
MARTINVILLE,7024628
ST JEAN (IO),7047396
POINTE-AU-PERE (INRS),7056068
GRIMSBY ROCK CHAPEL,6133057
ORILLIA,6115810
PARENT,7075800
LONG SAULT IHD,6154611
LYONS,6134729
CHALK RIVER AECL,6101335
RUPERT,7096733
TATAMAGOUCHE,8205774
PUGWASH,8204525
TYNE VALLEY 2,8300846
GRAND ETANG,8201969
NOEL,8204100
SOUTHWEST HEAD,8105065
RIVIERE JOLY,7066623
RIDGEVILLE,6137161
BELLROCK,6100720
TYRONE,6159048
MISTASSINI,7064998
LA POCATIERE,7054096
LA GALETTE,7043713
ISLE MALIGNE,7063320
KINGSTON MARINE,6104153
WALKERTON,6129235
PARC METIS,7055793
RAINHAM CENTURY FARM,6137135
ST MODESTE,7057574
THUNDER BAY,6048260
ST JOACHIM,6137323
KIDD CREEK MINE,6074100
PEAWANUCK (AUT),6016295
KEMPTVILLE 2,8202701
CHAPAIS,7091295
ST HILAIRE DORSET,7027309
POVUNGNITUK,7106220
MILAN,7024920
CAMPBELLFORD,6151137
GEORGETOWN,8300430
MONT-ORFORD,7025229
MONTREAL FALLS,6055302
WASDELLS,6119295
NEW CARLISLE 1,7055422
BOGNOR,6110823
PICKERING,6156513
STAYNER 2,6118000
MONTEBELLO,7035109
BRACEBRIDGE,6110851
GAGNON A,7042590
ALEXANDRIA,6100166
CLEAR CREEK,6131575
MALLORYTOWN LANDING,6104882
MISSISSAUGA,6155BA0
LANSDOWNE,6104348
ROSEWAY,8204600
PETITCODIAC,8103900
MECHANIC SETTLEMENT,8102848
SAINT JOHN UNB,810MRBE
BEDFORD BASIN,8200573
LOWER SACKVILLE,8203170
COLESON COVE,8101151
BROUGHTON VILLAGE,2400574
WENTWORTH VALLEY,8206228
COLLINGWOOD WPCP,6111800
CHICOUTIMI,7061440
GERALDTON ONT HYDRO,6042755
ALFRED,6100176
GRANDE RIVIERE,7052820
CHUTE A LA SAVANE,7061475
MARKDALE,6114977
ST RAPHAEL,6107352
MONTREAL JEAN BREBEUF,7025260
CLAREMONT,6151545
DONNACONA 2,7012071
PROTON STATION,6116750
MOOSE CREEK WELLS,6105397
PARKHILL,6146248
CLONTARF,6101658
POINTE DU MOULIN,702607F
GERALDTON AIRPORT,6042719
EDMUNDSTON,810AL00
HOPEWELL,8202415
TRACADIE,8205895
FRENCHMANS BAY,6152605
ST FLAVIEN CDA FE,7027260
SUDBURY A,6068153
MANCHE D'EPEE,7054448
LES CEDRES,7014290
SANIRAJAK,2402353
COBOURG 2,6151690
EAST POINT (AUT),8300418
MALAY FALLS,8203405
NEWTOWN CROSS,8300510
STELLARTON LOURDES,8205401
HUBBARDS,8202420
AYLESFORD,8200220
MCGRAW BROOK,8102808
MARGAREE HARBOUR,8203425
MARGAREE FORKS,8203423
ST MARGARET'S BAY,8204800
WHITEHEAD,8206300
CHARLOTTETOWN A,8300301
CHETICAMP CS,8200827
SACRE COEUR,7046735
BELL FALLS,7030640
MATAGAMI A,7094639
PORTLAND,6106677
ST GUILLAUME,7027302
MONT BLEU,7055104
ST CATHARINES POWER GLEN,6137306
NEWBURY,6125582
VAL RACINE,7028695
VARENNES,702327X
ALERT,2400300
BALTIMORE,8100430
BARRIE BROOK,8200400
LOCH LOMOND,8203151
COLLEGE GRANT,8200989
NAPPAN AUTO,8203702
WINDSOR MARTOCK,8206415
AYLMER,6130409
ENILDA-BERG,3062427
YELLOWKNIFE CS,2204155
HUNTSVILLE,6113660
UMIUJAQ A,7108564
ARCTIC BAY,2400400
ST GEORGE,8104700
CHENEVILLE,7031375
DESCHAMBAULT,7011983
BARK LAKE DAM,6100493
PORT STANLEY,6136694
NOLALU SSW22,6045676
LAC MASSON,7033673
MANIWAKI 2,7034481
MATHESON ONT HYDRO,6075013
THUNDER BAY PROVINCIAL PAPER,604HK61
ARMSTRONG (AUT),6040325
MICHIPICOTEN FALLS,6055095
SCOTLAND,6147664
ST SYLVESTRE,7027740
CORNWALL CUMBERLAND ST,6101885
GORE BAY A,6092925
BARRIE WPCC,6110557
ST ALEXIS DE MATAPEDIA,7056814
TRAFALGAR MARINE,6158860
ST JULIEN,7027426
SCARBOROUGH JUNCTION,6157625
WILSONS CORNERS,7038915
ST FIDELE 2,7047258
GATINEAU,7032680
GODFREY,6102857
LYNDHURST SHAWMERE,6104725
VINELAND BALLS FALLS,6139142
STRATHROY-MULLIFARRY,6148122
L'ASSOMPTION,7014160
LAKE EDWARD,7013735
LAC JACQUES CARTIER,7013655
RIVIERE MICHEL,7096650
BLACK STURGEON RIVER,6040790
SUNSHINE,6128182
WESTPORT,8206260
TORONTO NORTHCLIFFE,6158762
PAYS PLAT FORESTRY,6046283
CHUTE ST PHILIPPE,7031636
BAGOTVILLE A,7060400
GRAND LAC VICTORIA,7082880
GREY COUNTY FOREST,6113030
QUEBEC/JEAN LESAGE INTL,701S001
TORONTO CITY,6158355
WINCHESTER CS,6109515
SAVANNE,6047615
FOLEYET,6062425
CORNWALL COLLEGE,6101880
CONESTOGO,6141843
BANCROFT OMNR,6160473
HEMON,7063090
BELGRAVE,6120670
KINGSTON A,6104146
TRINITE DES MONTS,7058520
MARATHON A,6044967
STEWARTVILLE,6108027
LOUISEVILLE,7014332
ROWLEY ISLAND,2403625
LUTHER DAM,6144715
KEMPTVILLE CS,6104027
SAWYER BROOK,702GGR7
GRISE FIORD A,2402360
ST CAMILLE WOLFE,702FR30
RIDEAU NARROWS LOCKS,6106022
LAC HA HA,7063647
ST HYACINTHE 2,7027361
GRISE FIORD CLIMATE,2402351
RIDEAU FERRY,6107133
HAMILTON RBG CS,6153301
TORONTO WILLOWDALE,6158830
TOTTENHAM,6118848
ST ANTOINE DE PONTBRIAND,7026885
LAC EDOUARD,7013640
COOKSTOWN,6111859
MERCIER,7024878
UTTERSON ONT HYDRO,6119115
ROUYN-NORANDA A,7086719
INDIAN CHUTE,6073750
SARNIA CLIMATE,6127519
SUTTON JUNCTION (AUT),7028296
CAP CHAT,7051040
MATAWATCHAN,6105010
MILFORD,8203564
REDMOND,6046989
BARRAGE MATTAWIN,7070456
OUTLET,6106123
POINTE FREGATE,70560GF
MOUNT BRYDGES,6145499
SAWYERVILLE NORD,7027802
PORT PERRY NONQUON,6156682
FAREWELL COVE,7052316
TORONTO MIMICO,6158745
HOPEVILLE,6113510
MAPLE LEAF EAST,7024624
LAC ST DENIS,7033700
TORONTO AMESBURY,61583FL
BAIE-COMEAU A,7040442
CALABOGIE,6101077
EASTMAIN RIVER A,7092310
GALT OSMOND,6152661
PETITE RIV ST FRANCOIS,7046004
PAISLEY,6126210
OTTAWA SOUTH MARCH,6106102
WROXETER,6129660
LONGLAC P AND P,6044560
ST PIERRE BAPTISTE,7027653
HINCHINBROOKE,6103470
BARVILLE,7090520
ST LAZARE,5012600
MURDOCHVILLE HOLLAND,705ECH0
BURKETON MCLAUGHLIN,6151042
COPETOWN,6151866
TERRACE BAY AIRPORT,6048232
GUELPH OAC PHYSICS DEPT,614308C
ST LUDGER,7027516
BURLINGTON FIRE HQ'S,6151059
BANCROFT AUTO,616I001
LA GRANDE RIVIERE A,7093715
GRIMSBY MOUNTAIN,6133055
FESSERTON,6112410
FORTIERVILLE,7022494
ALLOA,6150224
SHAWBRIDGE BOYS FARM,7037985
LONDON A,6144473
INDIAN HOUSE LAKE,7113280
POINT CLARK,6126558
CENTREVILLE,8100850
CHATHAM CFCO,6131413
ST SEVERIN,7027733
SARNIA CHRIS HADFIELD A,6127518
COBDEN ONTARIO HYDRO,6101675
BELLETERRE,7080600
PUKASKWA (AUT),6046767
RIVIERE RUPERT,7096661
WARDEN,7028890
ILDERTON,6143720
BALDWIN,6110480
BURLINGTON PIERS (AUT),6151061
MEGISCANE,7094840
EATON SECOND BRANCH,7022306
RONVILLE,6117186
CONISTON STP,6061850
QUORN,6046811
DESERONTO,6152007
ST FEREOL,7047250
BRUSSELS,6121030
SIMCOE (AUT),6137732
MECATINA R,7044760
MONITOR,3014600
ROCKY RAPIDS,3015535
TELFORDVILLE,3016370
LEEDALE AGDM,3023740
WATERTON LAKES BAKER,3056993
TUNGSTEN,2203922
BONNYVILLE EXP ST,3080740
LINARIA,3063910
TAR ISLAND,3066364
HEATHERTON,8402100
CESSFORD,3021465
PORT CLEMENTS,1056250
LUTSELK'E A,2202690
ENCHANT,3032420
COWLEY A,3031920
MOSSLEIGH AGCM,3034577
WOSTOK,3017665
ARCTIC RED RIVER,2200412
HERRONTON EAST,3033138
EDBERG,3012190
LEDUC,3013780
FORT SIMPSON,2202115
SUMMIT LAKE BCFS,1187861
VINERIPE GREENHOUSE,3036856
FAIRVIEW 2,3072521
HAMPDEN WHITE BAY,8402069
MCIVER'S,840M001
BATTLE HARBOUR MARYS R,8500400
ROCKY HARBOUR CS,8403097
26 MILE DEPOT,8403990
EBBEGUNBAEG LAKE,8401530
BELLE ISLE,8500500
LONG LAKE RS,3013983
PRENTISS,3025297
BULLPOUND CREEK,3020973
CLARESHOLM TROUT CREEK,305J65G
SCHWARTZ CREEK,3065765
PEACE POINT TOWER,3075020
SMOKY LO,3076020
LA GLACE AGCM,3073740
MANNING RS,3074183
HIGH PRAIRIE RS,3063180
NOBLEFORD,3034818
PINE COULEE RESERVOIR,3035224
LOWER CARP LAKE,220N004
HIGHWAY,3063248
DUPRE AGCM,3081690
CORBIN,1151915
SUFFIELD HAMLET,3036241
ARGENTIA (AUT),8400104
CAROL LAKE PROJECT,8401080
NUTAK,8502900
SOPS ARM WHITE BAY,8403690
CAPE KAKKIVIAK,8500920
ST MARY'S,840C616
CHERRY MOUNTAIN TOWER,3071521
FLEET,301B6L0
FURMAN CLARESHOLM,3052745
BEARBERRY,3020550
BUCKTON LO,3060922
CLEARDALE AGDM,3074935
HAY RIVER PARADISE GDNS,2202405
BURNT TIMBER LO,3050978
CARIBOU MTN LO,3071330
SANGUDO SOUTH,3065725
BOUNDARY LAKE,1180R07
MANYBERRIES CREEK,3044204
BLAKEBURN,1120882
YOUBOU,1019010
GRIFFIN LAKE,1163306
BOWEN ISLAND CATES BAY,1040911
VICTORIA HIGHLAND,1018616
BAIE VERTE JUNCTION,8400359
DAVIDSON LAKE TOWER,307A954
KIMIWAN LO,3073F4M
MOSSLEIGH BURNAY,3034676
ST. ALBERT RESEARCH STATION,3025750
ROLLYVIEW,3015550
BLUEBERRY CREEK,3070718
WHITESWAN LAKE,1158917
LAC CARDINAL,3073677
MANNVILLE AGCM,3014195
DAPP,3061R54
LOON LAKE AFS,3073986
MORNINGSIDE,3024664
MANNING PARK,1124890
HERBERT INLET,1033460
KENO HILL,2100677
SATAH RIVER,2100946
DEROCHE,1102465
BLUE RIVER A,1160899
DEVIL COVE,8401506
GULL POND,8402060
HARDING RIVER,2302353
ZAMA LO,3078000
VAUXHALL NORTH,3036690
FORT SMITH A,2202201
SHOAL CREEK,3065887
SYLVAN LAKE,3026330
CHAILEY,3011474
ELK ISLAND PARK,3012277
CAWSTON SIMILKAMEEN,1121459
LISTER,1144635
SURREY SUNNYSIDE,1107879
MCBRIDE NORTH,1094955
WHONNOCK NO 5 RD,1108923
ELKHART LODGE HIGHWAY 97C,112K653
DAWSON CITY A,2100407
GARIBALDI,1043060
CAMPBELL RIVER,1021260
WOLF CREEK,2101601
BRIDGE LAKE,1160985
CALLAGHAN VALLEY BIATHLON HIGH LEVEL,1101313
PRINCE RUPERT,1066482
POWELL RIVER A,1046391
ELK LAKE JEUNE LANDING,1032660
BLACK DUCK,8400570
BAY D'ESPOIR LONG POND,8400414
TERRA NOVA NAT PARK S,8403854
CORNER BROOK,8401298
FLORANN,304KFL0
JOB CREEK,3053552
GLENWOODVILLE EXP ST,3032820
INDIN RIVER,2202552
QUEENSTOWN,3035340
TULLIBY LAKE,3016590
EDMONTON STONY PLAIN,301222F
SUMAS PRAIRIE 2,1107790
PIERS ISLAND,1016169
LITTLE QUALICUM RIVER GANSKE ROAD,1024642
MUNCHO LAKE,1195250
TETSA RIVER,1195J29
COLUMBIA GARDENS NORTH,1141803
BLUE RIVER CS,1160H99
SIRDAR,1147400
BEARSKIN LAKE,1200730
VICTORIA U VIC,1018FF6
GALIANO ISLAND GCC,1013045
CARCROSS,2100200
SIBLEY'S COVE,8403667
SUNNYSIDE,8403818
LOGY BAY,8402568
BISON LO,3070703
ATKINSON POINT,2200430
HILLSDOWN,3023280
PATRICIA,3025010
LETHBRIDGE BEGAMY,3033885
DEADMEN VALLEY,22010H0
GOAT'S EYE,3052838
BLACKIE NW,3030PAJ
COAL VALLEY,3061675
MOOSE MTN LO,3054655
MINAKER RIVER,1195165
PRINCE GEORGE MIWORTH,1096465
VICTORIA PORTAGE INLET,101HFNE
SURREY TYNEHEAD B,1107H79
VICTORIA MARINE,1018642
NANAIMO CITY YARD,10253G0
ASHCROFT NORTH,1160520
KINASKAN LAKE,1204215
SALMON VAL ERICKSON RD,1096952
CALLAGHAN VALLEY (SKI JUMP TOP),1100001
KANANASKIS LO,3053605
NOSE MOUNTAIN LO,3074880
MOULD BAY A,2502700
DRUMHELLER CITY,3022139
CARMANGAY EXP ST 3,3031342
SIKANNI CHIEF,1187335
ST. MARY RESERVOIR,3056100
SUFFIELD SOUTH,3036242
NORTH NICOMEN,1105630
CLOVERDALE CENTRE,1101707
MCLEESE LAKE FRASERVIEW,1095015
HOPKINS LANDING,1043582
DEASE LAKE (AUT),119BLM0
SATURNA CAPMON,1017098
EAR FALLS (AUT),6012199
LONGVIEW,3053985
PANDORA EXP ST,3024980
PADDLE RIVER 764,3064966
WESTCASTLE,3057K55
FORT VERMILION,3072719
EDMONTON CORONATION,301BK03
INUVIK AWOS A,2202575
VIOLET GROVE CS,3016860
TURNER VALLEY RS,3036641
GULL LAKE GOLF COURSE,3022981
PELLETIER CREEK,305NJ61
GLACIER AVALANCHE RS,1173190
PAKOWKI LAKE AGCM,3045000
HOLMAN,2502500
FOREMOST EAST,3032645
ROCHESTER,3065510
LIVINGSTONE LO,3053926
MANOLA,3064190
WILLOUGHBY RIDGE,305PE6R
PINCHER CREEK WEST,3035221
TROCHU EQUITY,3026530
NEWGATE,1155490
JARVIS LAKE,6043870
POWDER LAKE,2203315
KOOTENAY PLAINS,3053668
NORTH PINE CDA EPF,1185640
ANZAC,3060281
OXBOW,4015800
YORKTON RCMP SNOW,4019095
HILBRE,5041B9B
BASSWOOD,5040146
ST ANDREWS A,50225DP
SALT PRAIRIE LO,3065700
GOOSE MOUNTAIN LO,3062880
DOWNIE CREEK,1172542
GORDON LAKE LO,3062889
WONOWON,1188973
SPIONKOP CREEK,3056067
BUFFALO AGCM,3020950
CAMERON FALLS,6041109
FORT GOOD HOPE CS,2201450
HORTON RIVER,2202520
COCHRANE CATHCART,3031FPF
WATERTON PARK HQ,3057240
SALT PRAIRIE RS,3065705
DAYSLAND,301AR54
CHIPEWYAN LAKES LO,3071555
ROCKY MTN HOUSE CR10,3015524
BASSET LO,30705LQ
EDMONTON INTL A,3012216
SION,3015960
CAPPON SOUTH,3021290
CALGARY ROSSCARROCK,3031075
RED EARTH,3075489
CROWE TOWER,307JRN0
MEDORA,5011715
GOOD SPIRIT LAKE,4012943
NORTHGATE,4015612
COLONSAY,4051636
WINNIPEG PACIFIC AVENUE,502I002
AMARANTH,5040060
BODO AGDM,3010730
DOWNIE SLIDE BCHPA,1172543
SEDGEWICK TOWN,3015808
ATHABASCA 1,3060L20
ATHABASCA LO,3060353
PENANCE TOWER,30751F7
RICINUS,3015493
KAKWA,3073584
LEGEND LO,3073792
WHITECOURT LO,3067392
HOPE LAKE,306C344
PEACE RIVER FOREST HQ,3075048
SNUFF MOUNTAIN LO,3076040
ADAMS CREEK LO,3060045
PONOKA SOUTH,3015283
BATTLE CREEK LO,3.03E+42
LETHBRIDGE A CR10,3033882
POPLAR GLEN,3015287
MARCHAND,5021689
TREHERNE,5012930
LEAF RAPIDS,5061550
SASKATOON CENTRAL AVE,4057130
LETELLIER,5021565
LYNN LAKE A,5061646
ST. FRANCIS,3012799
BUFFALO HEAD PRAIRIE,3070960
SUNDRE SOUTH,3026K61
SOUSA CREEK (AUT),3076056
KOOTENAY PLAINS RS,3053670
MEANOOK,3064400
HUXLEY EAST,3023423
ROSALIND AGCM,3015600
PINCHER CREEK CLIMATE,3035208
ROCKY MTN HOUSE A,3015522
BEAVER MINES,3050602
WINNIPEG PERTH,5023228
SASKATOON SRC,4057180
DUGALD,5020810
ST DONATUS,4047050
WINNIPEG RICHARDSON AWOS,5023226
MAYCROFT,3054250
BULLHORN HEADWATERS,3050965
FALLEN TIMBER,3052602
NATAL HARMER RIDGE,1155402
KNAPPEN EXP ST,3043660
DENISON SHERIFF,1182428
KSITUAN,3073673
